,title,main_speaker,website_link,event
167,Winning the oil endgame,Amory Lovins,"https://www.ted.com/talks/amory_lovins_on_winning_the_oil_endgame
",TED2005
168,"A performance of ""Mathemagic""",Arthur Benjamin,"https://www.ted.com/talks/arthur_benjamin_does_mathemagic
",TED2005
169,Why aren't we more compassionate?,Daniel Goleman,"https://www.ted.com/talks/daniel_goleman_on_compassion
",TED2007
170,The lost art of letter-writing,Lakshmi Pratury,"https://www.ted.com/talks/lakshmi_pratury_on_letter_writing
",TED2007
171,5 dangerous things you should let your kids do,Gever Tulley,"https://www.ted.com/talks/gever_tulley_on_5_dangerous_things_for_kids
",TED2007
172,Tales of passion,Isabel Allende,"https://www.ted.com/talks/isabel_allende_tells_tales_of_passion
",TED2007
173,We're worried about local warming ... in your lap,Yossi Vardi,"https://www.ted.com/talks/yossi_vardi_fights_local_warming
",TED2007
174,The emergent genius of ant colonies,Deborah Gordon,"https://www.ted.com/talks/deborah_gordon_digs_ants
",TED2003
175,The mystery box,J.J. Abrams,"https://www.ted.com/talks/j_j_abrams_mystery_box
",TED2007
176,Underwater astonishments,David Gallo,"https://www.ted.com/talks/david_gallo_shows_underwater_astonishments
",TED2007
177,Treat design as art,Paola Antonelli,"https://www.ted.com/talks/paola_antonelli_treats_design_as_art
",TED2007
178,"A master architect asks, Now what?",Frank Gehry,"https://www.ted.com/talks/frank_gehry_asks_then_what
",TED2002
179,"""Tembererana""",Raul Midon,"https://www.ted.com/talks/raul_midon_plays_all_the_answers_and_tembererana
",TED2007
180,"Rebuilding a neighborhood with beauty, dignity, hope",Bill Strickland,"https://www.ted.com/talks/bill_strickland_makes_change_with_a_slide_show
",TED2002
181,The life-long learner,Bernie Dunlap,"https://www.ted.com/talks/ben_dunlap_talks_about_a_passionate_life
",TED2007
182,The music wars,David Pogue,"https://www.ted.com/talks/david_pogue_on_the_music_wars
",TED2007
183,An unusual glimpse at celebrity,Alison Jackson,"https://www.ted.com/talks/alison_jackson_looks_at_celebrity
",TEDGlobal 2005
184,TED's nonprofit transition,Chris Anderson,"https://www.ted.com/talks/chris_anderson_shares_his_vision_for_ted
",TED2002
185,The idea behind Zipcar (and what comes next),Robin Chase,"https://www.ted.com/talks/robin_chase_on_zipcar_and_her_next_big_idea
",TED2007
186,A song of the city,Jaime Lerner,"https://www.ted.com/talks/jaime_lerner_sings_of_the_city
",TED2007
187,An illustrated journey through Rome,David Macaulay,"https://www.ted.com/talks/david_macaulay_s_rome_antics
",TED2002
188,A plant's-eye view,Michael Pollan,"https://www.ted.com/talks/michael_pollan_gives_a_plant_s_eye_view
",TED2007
189,The new power of collaboration,Howard Rheingold,"https://www.ted.com/talks/howard_rheingold_on_collaboration
",TED2005
190,The untouchable music of the theremin,Pamelia Kurstin,"https://www.ted.com/talks/pamelia_kurstin_plays_the_theremin
",TED2002
191,The story of Project Orion,George Dyson,"https://www.ted.com/talks/george_dyson_on_project_orion
",TED2002
192,Building uniqueness,Moshe Safdie,"https://www.ted.com/talks/moshe_safdie_on_building_uniqueness
",TED2002
193,The Jill and Julia Show,Jill Sobule + Julia Sweeney,"https://www.ted.com/talks/the_jill_and_julia_show
",TED2007
194,Juggle and jest,Raspyni Brothers,"https://www.ted.com/talks/the_raspyni_brothers_juggle_and_jest
",TED2002
195,A parable for Kenya,Joseph Lekuton,"https://www.ted.com/talks/joseph_lekuton_tells_a_parable_for_kenya
",TEDGlobal 2007
196,Model rocketry,Steve Jurvetson,"https://www.ted.com/talks/steve_jurvetson_on_model_rocketry
",TED2007
197,A preview of the WorldWide Telescope,Roy Gould + Curtis Wong,"https://www.ted.com/talks/roy_gould_and_curtis_wong_preview_the_worldwide_telescope
",TED2008
198,A powerful idea about ideas,Alan Kay,"https://www.ted.com/talks/alan_kay_shares_a_powerful_idea_about_ideas
",TED2007
199,On the verge of creating synthetic life,Craig Venter,"https://www.ted.com/talks/craig_venter_is_on_the_verge_of_creating_synthetic_life
",TED2008
200,"5 predictions, from 1984",Nicholas Negroponte,"https://www.ted.com/talks/nicholas_negroponte_in_1984_makes_5_predictions
",TED1984
201,My stroke of insight,Jill Bolte Taylor,"https://www.ted.com/talks/jill_bolte_taylor_s_powerful_stroke_of_insight
",TED2008
202,My days as a young rebel,Frank Gehry,"https://www.ted.com/talks/frank_gehry_as_a_young_rebel
",TED1990
203,My wish: Once Upon a School,Dave Eggers,"https://www.ted.com/talks/dave_eggers_makes_his_ted_prize_wish_once_upon_a_school
",TED2008
204,My wish: The Charter for Compassion,Karen Armstrong,"https://www.ted.com/talks/karen_armstrong_makes_her_ted_prize_wish_the_charter_for_compassion
",TED2008
205,My wish: Find the next Einstein in Africa,Neil Turok,"https://www.ted.com/talks/neil_turok_makes_his_ted_prize_wish
",TED2008
206,My green agenda for architecture,Norman Foster,"https://www.ted.com/talks/norman_foster_s_green_agenda
",DLD 2007
207,A look inside the brain in real time,Christopher deCharms,"https://www.ted.com/talks/christopher_decharms_scans_the_brain_in_real_time
",TED2008
208,The call to learn,Clifford Stoll,"https://www.ted.com/talks/clifford_stoll_on_everything
",TED2006
209,"""M'Bifo""",Rokia Traore,"https://www.ted.com/talks/rokia_traore_sings_m_bifo
",TEDGlobal 2007
210,The search for the true face of Leonardo,Siegfried Woldhek,"https://www.ted.com/talks/siegfried_woldhek_shows_how_he_found_the_true_face_of_leonardo
",TED2008
211,Sputnik mania,David Hoffman,"https://www.ted.com/talks/david_hoffman_shares_his_sputnik_mania
",TED2007
212,A new kind of music video,Jakob Trollback,"https://www.ted.com/talks/jakob_trollback_rethinks_the_music_video
",TED2007
213,Questioning the universe,Stephen Hawking,"https://www.ted.com/talks/stephen_hawking_asks_big_questions_about_the_universe
",TED2008
214,New thinking on the climate crisis,Al Gore,"https://www.ted.com/talks/al_gore_s_new_thinking_on_the_climate_crisis
",TED2008
215,Free or cheap Wii Remote hacks,Johnny Lee,"https://www.ted.com/talks/johnny_lee_demos_wii_remote_hacks
",TED2008
216,Inventing instruments that unlock new music,Tod Machover + Dan Ellsey,"https://www.ted.com/talks/tod_machover_and_dan_ellsey_play_new_music
",TED2008
217,The new open-source economics,Yochai Benkler,"https://www.ted.com/talks/yochai_benkler_on_the_new_open_source_economics
",TEDGlobal 2005
218,World-class health care,Ernest Madu,"https://www.ted.com/talks/ernest_madu_on_world_class_health_care
",TEDGlobal 2007
219,Where does creativity hide?,Amy Tan,"https://www.ted.com/talks/amy_tan_on_creativity
",TED2008
220,Making sense of string theory,Brian Greene,"https://www.ted.com/talks/brian_greene_on_string_theory
",TED2005
221,CERN's supercollider,Brian Cox,"https://www.ted.com/talks/brian_cox_on_cern_s_supercollider
",TED2008
222,Wake up! It's They Might Be Giants!,They Might Be Giants,"https://www.ted.com/talks/they_might_be_giants_play_at_8_30_am
",TED2007
223,The thinking behind 50x15,Hector Ruiz,"https://www.ted.com/talks/hector_ruiz_on_connecting_the_world
",TEDGlobal 2007
224,6 ways mushrooms can save the world,Paul Stamets,"https://www.ted.com/talks/paul_stamets_on_6_ways_mushrooms_can_save_the_world
",TED2008
